lat,lon,pressure,ASL_Sector_Pres,time
-71.25,196.5,973.7040405273438,982.9580078125,1979-02-01
-69.75,225.0,972.30224609375,980.5159301757812,1979-03-01
-68.25,273.75,967.7047119140625,979.388671875,1979-04-01
-70.5,191.25,977.4674072265625,987.1717529296875,1979-05-01
-70.5,219.0,966.9014282226562,977.8569946289062,1979-06-01
-71.25,249.75,972.6932983398438,980.13623046875,1979-07-01
-71.25,258.0,972.4166259765625,986.6744384765625,1979-08-01
-74.25,204.0,972.7765502929688,982.1755981445312,1979-09-01
-72.0,252.0,973.3610229492188,982.3060913085938,1979-10-01
-75.0,203.25,979.154296875,986.3114013671875,1979-11-01
-66.75,268.5,986.1121215820312,993.4611206054688,1979-12-01
-63.0,270.0,987.5421142578125,991.8096923828125,1980-01-01
-63.0,282.0,986.8758544921875,992.6497192382812,1980-02-01
-75.0,218.25,986.0529174804688,992.060791015625,1980-03-01
-66.0,193.5,979.39990234375,987.6708374023438,1980-05-01
-75.75,209.25,977.7468872070312,987.9915771484375,1980-06-01
-63.75,207.0,982.9755249023438,994.7154541015625,1980-07-01
-71.25,201.75,976.0797729492188,983.3721923828125,1980-08-01
-69.0,258.0,981.4735717773438,989.0620727539062,1980-09-01
-70.5,221.25,963.615234375,973.8837280273438,1980-10-01
-62.25,292.5,984.1104736328125,991.2369384765625,1980-11-01
-70.5,272.25,984.76123046875,989.5646362304688,1980-12-01
-70.5,207.75,980.7098388671875,987.237548828125,1981-01-01
-67.5,279.75,976.9266967773438,984.4423828125,1981-02-01
-67.5,219.75,973.2833862304688,985.9512939453125,1981-03-01
-72.75,202.5,988.1900634765625,994.0253295898438,1981-04-01
-75.0,195.0,980.0337524414062,988.9751586914062,1981-05-01
-70.5,219.75,971.8731079101562,984.0203857421875,1981-06-01
-71.25,230.25,978.3016357421875,987.559814453125,1981-07-01
-68.25,273.75,978.25927734375,990.25048828125,1981-08-01
-72.0,282.0,984.2064819335938,991.7857055664062,1981-09-01
-72.0,210.0,975.8412475585938,980.218505859375,1981-10-01
-68.25,253.5,968.5812377929688,975.8570556640625,1981-11-01
-71.25,231.75,974.7062377929688,982.9532470703125,1981-12-01
-64.5,267.0,983.7929077148438,988.8842163085938,1982-01-01
-66.0,233.25,979.2855224609375,984.3345336914062,1982-02-01
-67.5,276.75,973.97509765625,981.0106811523438,1982-03-01
-70.5,270.0,968.3116455078125,980.0641479492188,1982-04-01
-68.25,261.75,976.5399780273438,985.4579467773438,1982-05-01
-73.5,204.75,975.482666015625,984.9720458984375,1982-06-01
-69.0,207.0,981.7869262695312,989.8255004882812,1982-07-01
-72.75,196.5,966.677001953125,983.490234375,1982-08-01
-73.5,216.0,968.7803344726562,980.050048828125,1982-09-01
-72.75,249.75,975.832763671875,984.2251586914062,1982-10-01
