# 
# Detected lows within the Pacific sector of the Southern Ocean
#   (derived from monthly ERA5 Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scotthosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20210820-era5
# 
# 

time,lon,lat,ActCenPres,SectorPres,RelCenPres
1959-01-01,205.5,-66.0,976.2395,984.38403,-8.144531
1959-01-01,306.0,-64.5,981.6601,984.38403,-2.723938
1959-01-01,300.25,-63.75,982.7244,984.38403,-1.6596069
1959-02-01,179.25,-69.5,979.9391,988.9867,-9.047607
1959-02-01,162.0,-65.75,980.25134,988.9867,-8.735352
1959-02-01,278.25,-71.0,985.6247,988.9867,-3.3619995
1959-03-01,200.75,-72.75,977.1655,983.80786,-6.642334
1959-03-01,260.0,-71.0,978.5765,983.80786,-5.2313843
1959-04-01,197.75,-70.75,990.18256,996.50543,-6.322876
1959-04-01,162.0,-66.75,991.866,996.50543,-4.6394043
1959-04-01,222.75,-56.25,993.9615,996.50543,-2.5439453
1959-05-01,284.75,-67.5,981.5582,992.84,-11.281799
1959-05-01,276.0,-69.75,981.7106,992.84,-11.129456
1959-05-01,306.0,-67.5,983.5839,992.84,-9.2561035
1959-06-01,240.0,-69.75,975.5153,985.3207,-9.805359
1959-06-01,188.75,-64.5,978.3683,985.3207,-6.9523926
1959-07-01,218.75,-68.0,979.3683,985.4209,-6.0526123
1959-07-01,204.25,-65.75,979.9391,985.4209,-5.4818115
1959-08-01,162.0,-64.0,985.66974,995.53284,-9.863098
1959-08-01,250.0,-73.0,989.3929,995.53284,-6.1399536
1959-08-01,234.5,-73.25,989.5452,995.53284,-5.98761
1959-09-01,217.5,-74.75,974.9853,984.12616,-9.140869
1959-09-01,206.25,-76.25,975.97675,984.12616,-8.149414
1959-09-01,204.5,-77.0,975.98206,984.12616,-8.144104
1959-10-01,208.0,-71.0,973.5851,983.0561,-9.471008
1959-10-01,210.0,-71.25,973.5862,983.0561,-9.46991
1959-11-01,200.0,-71.0,970.8169,980.8848,-10.067932
1959-11-01,306.0,-65.5,975.40485,980.8848,-5.4799805
1959-11-01,284.5,-72.5,977.89514,980.8848,-2.989685
1959-12-01,248.75,-64.0,981.3479,986.3592,-5.0112915
1959-12-01,212.0,-67.0,981.51953,986.3592,-4.8396606
1960-01-01,180.5,-67.75,982.39954,988.8064,-6.4068604
1960-01-01,164.0,-66.0,983.55963,988.8064,-5.246765
1960-01-01,280.75,-71.5,986.0279,988.8064,-2.7785034
1960-02-01,260.25,-69.5,980.24915,986.13,-5.8808594
1960-02-01,261.75,-69.25,980.25024,986.13,-5.8797607
1960-02-01,162.0,-65.0,981.277,986.13,-4.8530273
1960-03-01,213.0,-74.25,974.0859,982.53375,-8.447876
1960-03-01,162.0,-68.0,975.8933,982.53375,-6.640442
1960-03-01,258.25,-71.75,976.5854,982.53375,-5.9483643
1960-04-01,286.75,-66.5,981.58545,988.3124,-6.7269287
1960-04-01,206.75,-71.75,983.62946,988.3124,-4.6829224
1960-04-01,306.0,-64.75,984.1381,988.3124,-4.1742554
1960-05-01,208.0,-73.5,978.48456,984.7097,-6.2251587
1960-05-01,245.5,-63.0,980.6526,984.7097,-4.057129
1960-05-01,242.0,-65.75,980.7088,984.7097,-4.0009155
1960-06-01,199.0,-75.5,981.0153,991.58014,-10.564819
1960-06-01,234.5,-73.25,985.3858,991.58014,-6.194336
1960-06-01,253.0,-73.25,985.9247,991.58014,-5.6554565
1960-07-01,203.75,-76.25,975.5691,984.45465,-8.885559
1960-07-01,232.5,-73.5,978.7232,984.45465,-5.7314453
1960-07-01,169.75,-71.5,984.18085,984.45465,-0.2738037
1960-08-01,260.75,-71.25,978.5783,986.5842,-8.00592
1960-08-01,259.25,-71.75,978.5825,986.5842,-8.001709
1960-08-01,274.5,-70.75,979.2579,986.5842,-7.326355
1960-09-01,226.0,-72.0,969.87274,980.18506,-10.312317
1960-09-01,199.25,-76.5,970.08954,980.18506,-10.09552
