# 
# Amundsen Sea Low (ASL) Index version 3
#   (derived from monthly ERA5 Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scotthosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20210820-era5
# 
# 

time,lon,lat,ActCenPres,SectorPres,RelCenPres
1959-01-01,205.5,-66.0,976.2395,984.38403,-8.144531
1959-02-01,179.25,-69.5,979.9391,988.9867,-9.047607
1959-03-01,200.75,-72.75,977.1655,983.80786,-6.642334
1959-04-01,197.75,-70.75,990.18256,996.50543,-6.322876
1959-05-01,284.75,-67.5,981.5582,992.84,-11.281799
1959-06-01,240.0,-69.75,975.5153,985.3207,-9.805359
1959-07-01,218.75,-68.0,979.3683,985.4209,-6.0526123
1959-08-01,250.0,-73.0,989.3929,995.53284,-6.1399536
1959-09-01,217.5,-74.75,974.9853,984.12616,-9.140869
1959-10-01,208.0,-71.0,973.5851,983.0561,-9.471008
1959-11-01,200.0,-71.0,970.8169,980.8848,-10.067932
1959-12-01,248.75,-64.0,981.3479,986.3592,-5.0112915
1960-01-01,180.5,-67.75,982.39954,988.8064,-6.4068604
1960-02-01,260.25,-69.5,980.24915,986.13,-5.8808594
1960-03-01,213.0,-74.25,974.0859,982.53375,-8.447876
1960-04-01,286.75,-66.5,981.58545,988.3124,-6.7269287
1960-05-01,208.0,-73.5,978.48456,984.7097,-6.2251587
1960-06-01,199.0,-75.5,981.0153,991.58014,-10.564819
1960-07-01,203.75,-76.25,975.5691,984.45465,-8.885559
1960-08-01,260.75,-71.25,978.5783,986.5842,-8.00592
1960-09-01,226.0,-72.0,969.87274,980.18506,-10.312317
1960-10-01,208.5,-74.5,974.50275,983.7081,-9.205383
1960-11-01,255.0,-70.25,974.45276,981.99976,-7.546997
1960-12-01,202.0,-75.5,983.60443,990.7636,-7.1591797
1961-01-01,190.0,-72.5,984.95374,988.88806,-3.9343262
1961-02-01,196.75,-66.0,980.3063,986.88434,-6.578064
1961-03-01,248.0,-66.0,979.0502,984.14056,-5.090393
1961-04-01,202.5,-71.5,978.15076,985.2287,-7.077942
1961-05-01,273.75,-70.25,980.7238,990.05194,-9.328125
1961-06-01,213.25,-72.0,984.28516,989.7875,-5.5023193
1961-07-01,207.0,-75.25,979.4846,990.2863,-10.801697
1961-08-01,216.5,-72.0,975.93115,988.1249,-12.193726
1961-09-01,214.25,-71.25,979.2798,986.9501,-7.670288
1961-10-01,264.0,-70.0,967.4219,975.24615,-7.82428
1961-11-01,202.5,-70.5,973.8061,979.6438,-5.8377075
1961-12-01,254.25,-70.25,975.8783,981.1095,-5.231201
1962-01-01,253.25,-70.25,977.1746,983.84174,-6.6671143
1962-02-01,270.75,-69.75,978.03436,986.39465,-8.360291
1962-03-01,227.5,-72.75,982.25116,988.0989,-5.8477173
1962-04-01,253.25,-70.25,970.85376,978.69714,-7.843384
1962-05-01,246.0,-68.75,971.1432,979.86646,-8.723267
1962-06-01,269.0,-68.75,977.9318,988.89813,-10.966309
1962-07-01,220.0,-72.75,972.4286,981.9482,-9.519592
1962-08-01,249.0,-71.75,976.56647,984.92834,-8.361877
1962-09-01,260.0,-68.75,971.88745,983.71326,-11.825806
1962-10-01,215.5,-72.0,971.383,978.77606,-7.3930664
1962-11-01,253.5,-69.0,981.45844,988.17065,-6.712219
1962-12-01,277.5,-72.0,973.8155,988.0364,-14.220886
1963-01-01,289.25,-66.75,982.04156,986.03174,-3.9901733
1963-02-01,278.75,-65.75,980.1916,985.44275,-5.2511597
1963-03-01,288.25,-67.25,977.4789,987.45953,-9.980652
